1,Title001,1920,Country001,04/03/05,30,Description001,Title001
2,Title002,1921,Country002,04/04/05,31,Description002,Title002
3,Title003,1922,Country003,04/05/05,32,Description003,Title003
4,Title004,1923,Country004,04/06/05,33,Description004,Title004
5,Title005,1924,Country005,04/07/05,34,Description005,Title005
6,Title006,1925,Country006,04/08/05,35,Description006,Title006
7,Title007,1926,Country007,04/09/05,36,Description007,Title007
8,Title008,1927,Country008,04/10/05,37,Description008,Title008
9,Title009,1928,Country009,04/11/05,38,Description009,Title009
10,Title010,1929,Country010,04/12/05,39,Description010,Title010
11,Title011,1930,Country011,04/13/05,40,Description011,Title011
12,Title012,1931,Country012,04/14/05,41,Description012,Title012
13,Title013,1932,Country013,04/15/05,42,Description013,Title013
14,Title014,1933,Country014,04/16/05,43,Description014,Title014
15,Title015,1934,Country015,04/17/05,44,Description015,Title015
16,Title016,1935,Country016,04/18/05,45,Description016,Title016
17,Title017,1936,Country017,04/19/05,46,Description017,Title017
18,Title018,1937,Country018,04/20/05,47,Description018,Title018
19,Title019,1938,Country019,04/21/05,48,Description019,Title019
20,Title020,1939,Country020,04/22/05,49,Description020,Title020
21,Title021,1940,Country021,04/23/05,50,Description021,Title021
22,Title022,1941,Country022,04/24/05,51,Description022,Title022
23,Title023,1942,Country023,04/25/05,52,Description023,Title023
24,Title024,1943,Country024,04/26/05,53,Description024,Title024
25,Title025,1944,Country025,04/27/05,54,Description025,Title025
26,Title026,1945,Country026,04/28/05,55,Description026,Title026
27,Title027,1946,Country027,04/29/05,56,Description027,Title027
28,Title028,1947,Country028,04/30/05,57,Description028,Title028
29,Title029,1948,Country029,05/01/05,58,Description029,Title029
30,Title030,1949,Country030,05/02/05,59,Description030,Title030
31,Title031,1950,Country031,05/03/05,60,Description031,Title031
32,Title032,1951,Country032,05/04/05,61,Description032,Title032
33,Title033,1952,Country033,05/05/05,62,Description033,Title033
34,Title034,1953,Country034,05/06/05,63,Description034,Title034
35,Title035,1954,Country035,05/07/05,64,Description035,Title035
36,Title036,1955,Country036,05/08/05,65,Description036,Title036
37,Title037,1956,Country037,05/09/05,66,Description037,Title037
38,Title038,1957,Country038,05/10/05,67,Description038,Title038
39,Title039,1958,Country039,05/11/05,68,Description039,Title039
40,Title040,1959,Country040,05/12/05,69,Description040,Title040
41,Title041,1960,Country041,05/13/05,70,Description041,Title041
42,Title042,1961,Country042,05/14/05,71,Description042,Title042
43,Title043,1962,Country043,05/15/05,72,Description043,Title043
44,Title044,1963,Country044,05/16/05,73,Description044,Title044
45,Title045,1964,Country045,05/17/05,74,Description045,Title045
46,Title046,1965,Country046,05/18/05,75,Description046,Title046
47,Title047,1966,Country047,05/19/05,76,Description047,Title047
48,Title048,1967,Country048,05/20/05,77,Description048,Title048
49,Title049,1968,Country049,05/21/05,78,Description049,Title049
50,Title050,1969,Country050,05/22/05,79,Description050,Title050
51,Title051,1970,Country051,05/23/05,80,Description051,Title051
52,Title052,1971,Country052,05/24/05,81,Description052,Title052
53,Title053,1972,Country053,05/25/05,82,Description053,Title053
54,Title054,1973,Country054,05/26/05,83,Description054,Title054
55,Title055,1974,Country055,05/27/05,84,Description055,Title055
56,Title056,1975,Country056,05/28/05,85,Description056,Title056
57,Title057,1976,Country057,05/29/05,86,Description057,Title057
58,Title058,1977,Country058,05/30/05,87,Description058,Title058
59,Title059,1978,Country059,05/31/05,88,Description059,Title059
60,Title060,1979,Country060,06/01/05,89,Description060,Title060
61,Title061,1980,Country061,06/02/05,90,Description061,Title061
62,Title062,1981,Country062,06/03/05,91,Description062,Title062
63,Title063,1982,Country063,06/04/05,92,Description063,Title063
64,Title064,1983,Country064,06/05/05,93,Description064,Title064
65,Title065,1984,Country065,06/06/05,94,Description065,Title065
66,Title066,1985,Country066,06/07/05,95,Description066,Title066
67,Title067,1986,Country067,06/08/05,96,Description067,Title067
68,Title068,1987,Country068,06/09/05,97,Description068,Title068
69,Title069,1988,Country069,06/10/05,98,Description069,Title069
70,Title070,1989,Country070,06/11/05,99,Description070,Title070
71,Title071,1990,Country071,06/12/05,100,Description071,Title071
72,Title072,1991,Country072,06/13/05,101,Description072,Title072
73,Title073,1992,Country073,06/14/05,102,Description073,Title073
74,Title074,1993,Country074,06/15/05,103,Description074,Title074
